locus_tag	ftype	length_bp	gene	EC_number	COG	product
H37Rv_00001	gene	1491	dnaA			
H37Rv_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
H37Rv_00002	gene	1209	dnaN			
H37Rv_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
H37Rv_00003	gene	1158	recF			
H37Rv_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
H37Rv_00004	gene	516				
H37Rv_00004	CDS	516				hypothetical protein
H37Rv_00005	gene	2145	gyrB1			
H37Rv_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
H37Rv_00006	gene	2517	gyrA1			
H37Rv_00006	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
H37Rv_00007	gene	198				
H37Rv_00007	CDS	198				hypothetical protein
H37Rv_00008	gene	306				
H37Rv_00008	CDS	306				putative protein
H37Rv_00009	gene	75				
H37Rv_00009	tRNA	75				tRNA-Ile(gat)
H37Rv_00010	gene	74				
H37Rv_00010	tRNA	74				tRNA-Ala(tgc)
H37Rv_00011	gene	108				
H37Rv_00011	CDS	108				hypothetical protein
H37Rv_00012	gene	138				
H37Rv_00012	CDS	138				hypothetical protein
H37Rv_00013	gene	438	cwsA			
H37Rv_00013	CDS	438	cwsA			Cell wall synthesis protein CwsA
H37Rv_00014	gene	549	ppiA			
H37Rv_00014	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
H37Rv_00015	gene	153				
H37Rv_00015	CDS	153				hypothetical protein
H37Rv_00016	gene	270				
H37Rv_00016	CDS	270				hypothetical protein
H37Rv_00017	gene	282	crgA			
H37Rv_00017	CDS	282	crgA			Cell division protein CrgA
H37Rv_00018	gene	744				
H37Rv_00018	CDS	744				hypothetical protein
H37Rv_00019	gene	699	trpG			
H37Rv_00019	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
H37Rv_00020	gene	1881	pknB			
H37Rv_00020	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
H37Rv_00021	gene	1296	pknA			
H37Rv_00021	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
H37Rv_00022	gene	1476	pbpA			
H37Rv_00022	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
H37Rv_00023	gene	1410	rodA			
H37Rv_00023	CDS	1410	rodA		COG0772	putative FtsW-like protein
H37Rv_00024	gene	1536	pstP			
H37Rv_00024	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
