locus_tag	ftype	length_bp	gene	EC_number	COG	product
P7741_00001	gene	324	rsmA_1			
P7741_00001	CDS	324	rsmA_1			Anti-sigma-M factor RsmA
P7741_00002	gene	999	trxB_1			
P7741_00002	CDS	999	trxB_1	1.8.1.9	COG0492	Thioredoxin reductase
P7741_00003	gene	354	trxA			
P7741_00003	CDS	354	trxA		COG0526	Thioredoxin
P7741_00004	gene	1221	cwlM			
P7741_00004	CDS	1221	cwlM	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase CwlM
P7741_00005	gene	732				
P7741_00005	CDS	732				hypothetical protein
P7741_00006	gene	984	parB			
P7741_00006	CDS	984	parB		COG1475	putative chromosome-partitioning protein ParB
P7741_00007	gene	1134				
P7741_00007	CDS	1134				Iron-sulfur cluster carrier protein
P7741_00008	gene	687	rsmG			
P7741_00008	CDS	687	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
P7741_00009	gene	549				
P7741_00009	CDS	549				hypothetical protein
P7741_00010	gene	1116	yidC			
P7741_00010	CDS	1116	yidC		COG0706	Membrane protein insertase YidC
P7741_00011	gene	309	yidD			
P7741_00011	CDS	309	yidD			Putative membrane protein insertion efficiency factor
P7741_00012	gene	1557	dnaA			
P7741_00012	CDS	1557	dnaA		COG0593	Chromosomal replication initiator protein DnaA
P7741_00013	gene	1209	dnaN			
P7741_00013	CDS	1209	dnaN		COG0592	Beta sliding clamp
P7741_00014	gene	1080	recF			
P7741_00014	CDS	1080	recF		COG1195	DNA replication and repair protein RecF
P7741_00015	gene	564				
P7741_00015	CDS	564				hypothetical protein
P7741_00016	gene	2079	gyrB1			
P7741_00016	CDS	2079	gyrB1	5.6.2.2		DNA gyrase subunit B
P7741_00017	gene	2520	gyrA1			
P7741_00017	CDS	2520	gyrA1	5.6.2.2		DNA gyrase subunit A
P7741_00018	gene	75				
P7741_00018	tRNA	75				tRNA-Ile(gat)
P7741_00019	gene	74				
P7741_00019	tRNA	74				tRNA-Ala(tgc)
P7741_00020	gene	897	MENG			
P7741_00020	CDS	897	MENG	2.1.1.329		2-phytyl-1,4-beta-naphthoquinone methyltransferase, chloroplastic
P7741_00021	gene	426	tipA_1			
