query	grouping_confidence	location_confidence	orientation_confidence
NODE_61_length_23390_cov_12.810192_pilon_pilon_pilon_pilon	1.0	0.004134181004395387	1.0
NODE_76_length_21115_cov_13.121685_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_312_length_4669_cov_12.911803_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_483_length_807_cov_10.058904_pilon_pilon_pilon_pilon	1.0	0.5336164189667374	0.9204244031830239
NODE_36_length_29468_cov_13.112449_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_413_length_1520_cov_12.803881_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1143_length_332_cov_5.315403_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_225_length_8137_cov_12.309926_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_519_length_573_cov_14.278226_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1198_length_253_cov_23.505682_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_227_length_8092_cov_12.224080_pilon_pilon_pilon_pilon	1.0	0.0015945463802337152	1.0
NODE_109_length_16731_cov_12.301549_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_282_length_5645_cov_10.742098_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_158_length_12465_cov_12.831853_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_272_length_6008_cov_12.999157_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_274_length_5835_cov_23.241674_pilon_pilon_pilon_pilon	1.0	0.0011579030521243468	0.947935368043088
NODE_215_length_8709_cov_23.210380_pilon_pilon_pilon_pilon	1.0	0.0017793579450367289	1.0
NODE_488_length_730_cov_15.986217_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1333_length_149_cov_6.638889_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_169_length_11882_cov_12.283270_pilon_pilon_pilon_pilon	1.0	0.002148360913267514	1.0
NODE_354_length_3001_cov_11.499316_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_154_length_12642_cov_12.050060_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_176_length_11450_cov_12.294294_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_183_length_11123_cov_11.709125_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_551_length_473_cov_2.623737_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1046_length_349_cov_1.069853_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_443_length_1113_cov_6.366795_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_261_length_6374_cov_9.275687_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_331_length_3703_cov_10.751793_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_80_length_20558_cov_13.178946_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_110_length_16289_cov_13.193314_pilon_pilon_pilon_pilon	1.0	0.004521646178514163	1.0
NODE_234_length_7776_cov_10.751007_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_338_length_3434_cov_10.922550_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_458_length_969_cov_16.635650_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_395_length_1796_cov_11.283304_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_66_length_22597_cov_12.485746_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_256_length_6588_cov_11.500538_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_192_length_10566_cov_13.191725_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_60_length_23819_cov_12.397313_pilon_pilon_pilon_pilon	1.0	0.9997479203428283	0.8055975794251135
NODE_128_length_14736_cov_12.759602_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_81_length_20104_cov_12.470165_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_347_length_3254_cov_13.519673_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_27_length_32690_cov_13.025818_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_55_length_25829_cov_12.753184_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_77_length_21093_cov_13.331129_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1262_length_155_cov_8.461538_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_353_length_3035_cov_11.701149_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_299_length_4881_cov_13.471690_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_357_length_2902_cov_10.698407_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_500_length_633_cov_9.076056_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_508_length_606_cov_7.671078_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_467_length_890_cov_7.086101_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_439_length_1152_cov_9.224573_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1945_length_104_cov_1.666667_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_197_length_9857_cov_10.331697_pilon_pilon_pilon_pilon	1.0	0.9942505466029637	0.9458380843785633
NODE_240_length_7574_cov_10.264239_pilon_pilon_pilon_pilon	1.0	1.0	1.0
