locus_tag	ftype	length_bp	gene	EC_number	COG	product
Shinsuense_00001	gene	990				
Shinsuense_00001	CDS	990				hypothetical protein
Shinsuense_00002	gene	303				
Shinsuense_00002	CDS	303				hypothetical protein
Shinsuense_00003	gene	1380	mtr			
Shinsuense_00003	CDS	1380	mtr	1.8.1.15	COG1249	Mycothione reductase
Shinsuense_00004	gene	495	perR			
Shinsuense_00004	CDS	495	perR		COG0735	Peroxide-responsive repressor PerR
Shinsuense_00005	gene	1119	nixA			
Shinsuense_00005	CDS	1119	nixA		COG3376	Nickel transporter NixA
Shinsuense_00006	gene	393	hypA			
Shinsuense_00006	CDS	393	hypA			Hydrogenase maturation factor HypA
Shinsuense_00007	gene	768	hypB			
Shinsuense_00007	CDS	768	hypB			Hydrogenase maturation factor HypB
Shinsuense_00008	gene	540				
Shinsuense_00008	CDS	540				hypothetical protein
Shinsuense_00009	gene	435				
Shinsuense_00009	CDS	435				hypothetical protein
Shinsuense_00010	gene	225				
Shinsuense_00010	CDS	225				putative PPE family protein PPE29
Shinsuense_00011	gene	1032				
Shinsuense_00011	CDS	1032				putative PPE family protein PPE32
Shinsuense_00012	gene	1167				
Shinsuense_00012	CDS	1167				putative PPE family protein PPE29
Shinsuense_00013	gene	549				
Shinsuense_00013	CDS	549				hypothetical protein
Shinsuense_00014	gene	969				
Shinsuense_00014	CDS	969				hypothetical protein
Shinsuense_00015	gene	738				
Shinsuense_00015	CDS	738		2.4.2.-	COG2071	Putative glutamine amidotransferase
Shinsuense_00016	gene	552				
Shinsuense_00016	CDS	552				hypothetical protein
Shinsuense_00017	gene	816	map			
Shinsuense_00017	CDS	816	map	3.4.11.18	COG0024	Methionine aminopeptidase 2
Shinsuense_00018	gene	621				
Shinsuense_00018	CDS	621				putative protein
Shinsuense_00019	gene	1758	mrdA			
Shinsuense_00019	CDS	1758	mrdA	3.4.16.4		Peptidoglycan D,D-transpeptidase MrdA
Shinsuense_00020	gene	855				
Shinsuense_00020	CDS	855				hypothetical protein
Shinsuense_00021	gene	1164	ispG_1			
Shinsuense_00021	CDS	1164	ispG_1	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
Shinsuense_00022	gene	1212	rip1			
Shinsuense_00022	CDS	1212	rip1	3.4.24.-		Zinc metalloprotease Rip1
Shinsuense_00023	gene	1272	dxr			
Shinsuense_00023	CDS	1272	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
Shinsuense_00024	gene	1746	dipZ			
Shinsuense_00024	CDS	1746	dipZ		COG0785	Protein DipZ
Shinsuense_00025	gene	594				
Shinsuense_00025	CDS	594			COG2335	Cell surface glycolipoprotein MPT83
Shinsuense_00026	gene	255				
Shinsuense_00026	CDS	255				hypothetical protein
Shinsuense_00027	gene	873				
Shinsuense_00027	CDS	873				hypothetical protein
Shinsuense_00028	gene	522				
Shinsuense_00028	CDS	522				Soluble secreted antigen MPT53
Shinsuense_00029	gene	1095	rlmN			
Shinsuense_00029	CDS	1095	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
Shinsuense_00030	gene	1710				
Shinsuense_00030	CDS	1710				hypothetical protein
Shinsuense_00031	gene	1305				
Shinsuense_00031	CDS	1305				hypothetical protein
Shinsuense_00032	gene	207				
Shinsuense_00032	CDS	207				hypothetical protein
Shinsuense_00033	gene	789				
Shinsuense_00033	CDS	789				hypothetical protein
Shinsuense_00034	gene	180				
Shinsuense_00034	CDS	180				hypothetical protein
Shinsuense_00035	gene	732				
Shinsuense_00035	CDS	732				hypothetical protein
Shinsuense_00036	gene	1116	glnA_1			
Shinsuense_00036	CDS	1116	glnA_1	6.3.1.2		Glutamine synthetase
Shinsuense_00037	gene	1047	glnA_2			
Shinsuense_00037	CDS	1047	glnA_2	6.3.1.2		Glutamine synthetase
Shinsuense_00038	gene	1281				
Shinsuense_00038	CDS	1281				hypothetical protein
Shinsuense_00039	gene	579				
Shinsuense_00039	CDS	579				hypothetical protein
Shinsuense_00040	gene	912				
Shinsuense_00040	CDS	912		2.3.2.-	COG1376	putative L,D-transpeptidase 3
Shinsuense_00041	gene	711				
Shinsuense_00041	CDS	711				hypothetical protein
Shinsuense_00042	gene	789				
Shinsuense_00042	CDS	789				hypothetical protein
Shinsuense_00043	gene	990				
Shinsuense_00043	CDS	990				hypothetical protein
Shinsuense_00044	gene	1218				
Shinsuense_00044	CDS	1218		1.5.1.43		Carboxynorspermidine synthase
Shinsuense_00045	gene	777	prr_1			
