locus_tag	ftype	length_bp	gene	EC_number	COG	product
Liflandii_00001	gene	1500	dnaA			
Liflandii_00001	CDS	1500	dnaA		COG0593	Chromosomal replication initiator protein DnaA
Liflandii_00002	gene	1209	dnaN			
Liflandii_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
Liflandii_00003	gene	1080	recF			
Liflandii_00003	CDS	1080	recF		COG1195	DNA replication and repair protein RecF
Liflandii_00004	gene	564				
Liflandii_00004	CDS	564				hypothetical protein
Liflandii_00005	gene	2079	gyrB1			
Liflandii_00005	CDS	2079	gyrB1	5.6.2.2		DNA gyrase subunit B
Liflandii_00006	gene	2520	gyrA1			
Liflandii_00006	CDS	2520	gyrA1	5.6.2.2		DNA gyrase subunit A
Liflandii_00007	gene	75				
Liflandii_00007	tRNA	75				tRNA-Ile(gat)
Liflandii_00008	gene	74				
Liflandii_00008	tRNA	74				tRNA-Ala(tgc)
Liflandii_00009	gene	840	tam_1			
Liflandii_00009	CDS	840	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
Liflandii_00010	gene	762	tipA			
Liflandii_00010	CDS	762	tipA			HTH-type transcriptional activator TipA
Liflandii_00011	gene	429	cwsA			
Liflandii_00011	CDS	429	cwsA			Cell wall synthesis protein CwsA
Liflandii_00012	gene	549	ppiA			
Liflandii_00012	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
Liflandii_00013	gene	426				
Liflandii_00013	CDS	426				hypothetical protein
Liflandii_00014	gene	282	crgA			
Liflandii_00014	CDS	282	crgA			Cell division protein CrgA
Liflandii_00015	gene	744				
Liflandii_00015	CDS	744				hypothetical protein
Liflandii_00016	gene	687	trpG			
Liflandii_00016	CDS	687	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
Liflandii_00017	gene	1881	pknB			
Liflandii_00017	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
Liflandii_00018	gene	1359	pknA			
Liflandii_00018	CDS	1359	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
Liflandii_00019	gene	1476	pbpA			
Liflandii_00019	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
Liflandii_00020	gene	1410	rodA			
Liflandii_00020	CDS	1410	rodA		COG0772	putative FtsW-like protein
Liflandii_00021	gene	1560	pstP			
