locus_tag	ftype	length_bp	gene	EC_number	COG	product
SGL03_00001	gene	1557	dnaA			
SGL03_00001	CDS	1557	dnaA		COG0593	Chromosomal replication initiator protein DnaA
SGL03_00002	gene	1209	dnaN			
SGL03_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
SGL03_00003	gene	1080	recF			
SGL03_00003	CDS	1080	recF		COG1195	DNA replication and repair protein RecF
SGL03_00004	gene	564				
SGL03_00004	CDS	564				hypothetical protein
SGL03_00005	gene	2079	gyrB1			
SGL03_00005	CDS	2079	gyrB1	5.6.2.2		DNA gyrase subunit B
SGL03_00006	gene	2520	gyrA1			
SGL03_00006	CDS	2520	gyrA1	5.6.2.2		DNA gyrase subunit A
SGL03_00007	gene	75				
SGL03_00007	tRNA	75				tRNA-Ile(gat)
SGL03_00008	gene	74				
SGL03_00008	tRNA	74				tRNA-Ala(tgc)
SGL03_00009	gene	840	tam_1			
SGL03_00009	CDS	840	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
SGL03_00010	gene	762	tipA			
SGL03_00010	CDS	762	tipA			HTH-type transcriptional activator TipA
SGL03_00011	gene	405	cwsA			
SGL03_00011	CDS	405	cwsA			Cell wall synthesis protein CwsA
SGL03_00012	gene	549	ppiA			
SGL03_00012	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
SGL03_00013	gene	426				
SGL03_00013	CDS	426				hypothetical protein
SGL03_00014	gene	282	crgA			
SGL03_00014	CDS	282	crgA			Cell division protein CrgA
SGL03_00015	gene	744				
SGL03_00015	CDS	744				hypothetical protein
SGL03_00016	gene	687	trpG			
SGL03_00016	CDS	687	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
SGL03_00017	gene	1881	pknB			
SGL03_00017	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
SGL03_00018	gene	1359	pknA			
SGL03_00018	CDS	1359	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
SGL03_00019	gene	1476	pbpA			
SGL03_00019	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
SGL03_00020	gene	1410	rodA			
